2023/6/29 16:58,,,,
num,二つを連続して実行,並列処理,一つだけ実行,並行処理
1,2.104649,1.365052,0.982772,0.952287
2,1.979087,1.132316,0.902089,0.948015
3,1.893642,1.145868,0.931042,1.367046
4,1.800485,1.196371,0.895162,0.923781
5,1.846754,1.161864,0.933959,0.938571
6,1.783197,1.141102,0.890181,0.965075
7,1.875688,1.205912,0.895159,1.038747
8,1.821362,1.214337,0.879054,0.94455
9,1.888921,1.148293,0.886405,0.92397
10,2.010232,1.222208,0.921496,0.98939
